Fecha,TC_Oficial_BCRP,RIN_Reservas
2017-03-01,3.26457142857143,62154.07110453
2017-03-02,3.27385714285714,62047.03416138
2017-03-03,3.28457142857143,62067.9682681
2017-03-06,3.28985714285714,61999.18013891
2017-03-07,3.29328571428571,62116.45321362
2017-03-08,3.29514285714286,62183.54021803
2017-03-09,3.29728571428571,62394.61867238
2017-03-10,3.28371428571429,62232.75860704
2017-03-13,3.288,62394.6603514
2017-03-14,3.28628571428571,62438.6979304
2017-03-15,3.26771428571429,62556.85414351
2017-03-16,3.25142857142857,62657.93877565
2017-03-17,3.24957142857143,62574.52667061
2017-03-20,3.25228571428571,62554.31852021
2017-03-21,3.245,62663.50312074
2017-03-22,3.25242857142857,62772.61687702
2017-03-23,3.24614285714286,62776.63288747
2017-03-24,3.243,62833.38761227
2017-03-27,3.24871428571429,62987.61301461
2017-03-28,3.24585714285714,62849.22794478
2017-03-29,3.24242857142857,62668.2594145
2017-03-30,3.24528571428571,62454.89392493
2017-03-31,3.24971428571429,62487.09715223
2017-04-03,3.24842857142857,62585.53779545
2017-04-04,3.25257142857143,62634.75566229
2017-04-05,3.24871428571429,62709.5067351
2017-04-06,3.24842857142857,62580.42671602
2017-04-07,3.24728571428571,62761.85908326
2017-04-10,3.247,62839.48818872
2017-04-11,3.25142857142857,63225.39217775
2017-04-12,3.25428571428571,63152.66125246
2017-04-17,3.25128571428571,63017.43694046
2017-04-18,3.25271428571429,63183.3889412
2017-04-19,3.25057142857143,63321.01850438
2017-04-20,3.24428571428571,63432.09013016
2017-04-21,3.24342857142857,63387.10439401
2017-04-24,3.24257142857143,63334.57535969
2017-04-25,3.247,63317.9316016
2017-04-26,3.25042857142857,63065.59863274
2017-04-27,3.24814285714286,62997.96450618
2017-04-28,3.24471428571429,62997.71150246
2017-05-02,3.24871428571429,62740.89608631
2017-05-03,3.25085714285714,62992.04289966
2017-05-04,3.27142857142857,63166.85322885
2017-05-05,3.27428571428571,63134.72662261
2017-05-08,3.28614285714286,63063.31479395
2017-05-09,3.29014285714286,63074.16079499
2017-05-10,3.28828571428571,62865.51246235
2017-05-11,3.28885714285714,63002.7289516
2017-05-12,3.27885714285714,63227.85787663
2017-05-15,3.26271428571429,63146.06523543
2017-05-16,3.26,63137.06257673
2017-05-17,3.27271428571429,63280.68552606
2017-05-18,3.28471428571429,63226.3663567
2017-05-19,3.26871428571429,63263.86393752
2017-05-22,3.27328571428571,63337.7730703
2017-05-23,3.28314285714286,63426.10862222
2017-05-24,3.27685714285714,63397.02775187
2017-05-25,3.26571428571429,63405.00814997
2017-05-26,3.273,63452.83889246
2017-05-29,3.283,63455.30687038
2017-05-30,3.28642857142857,63383.35250909
2017-05-31,3.27342857142857,63413.84016672
2017-06-01,3.27157142857143,63391.38784987
2017-06-02,3.27242857142857,63238.60350193
2017-06-05,3.272,63135.68035227
2017-06-06,3.26671428571429,63283.53563222
2017-06-07,3.26857142857143,63356.17287106
2017-06-08,3.27242857142857,63493.30292408
2017-06-09,3.26985714285714,63320.60704724
2017-06-12,3.27728571428571,63267.142464
2017-06-13,3.27728571428572,63313.0829232
2017-06-14,3.27042857142857,63302.18895817
2017-06-15,3.27885714285714,63255.77027413
2017-06-16,3.276,63250.08523964
2017-06-19,3.26942857142857,63306.77798457
2017-06-20,3.27485714285714,63134.75706588
2017-06-21,3.27142857142857,63209.51555951
2017-06-22,3.26771428571429,63290.77437386
2017-06-23,3.25657142857143,63445.99656016
2017-06-26,3.25314285714286,63152.06628793
2017-06-27,3.25642857142857,63056.07693381
2017-06-28,3.25228571428571,62601.15862892
2017-07-03,3.25414285714286,62487.23116238
2017-07-04,3.25742857142857,62487.00493722
2017-07-05,3.26171428571429,62742.30664744
2017-07-06,3.25685714285714,62736.59513071
2017-07-07,3.25085714285714,62773.61383509
2017-07-10,3.25571428571429,62740.91115262
2017-07-11,3.25528571428571,62674.26715707
2017-07-12,3.252,62577.90486354
2017-07-13,3.25014285714286,62521.56803696
2017-07-14,3.24514285714286,62480.23962136
2017-07-17,3.25157142857143,62326.51237375
2017-07-18,3.24628571428571,62474.12358546
2017-07-19,3.24328571428571,62752.22810311
2017-07-20,3.24114285714286,62709.90048436
2017-07-21,3.24742857142857,64858.69451497
2017-07-24,3.24728571428571,64890.3702274
2017-07-25,3.24728571428571,64766.09976797
2017-07-26,3.24842857142857,63139.95018055
2017-07-31,3.24142857142857,63050.13877991
2017-08-01,3.23957142857143,63051.5282343
2017-08-02,3.24142857142857,63065.45547485
2017-08-03,3.23928571428571,63096.6614145
2017-08-04,3.24271428571429,63096.73430859
2017-08-07,3.24371428571429,63157.85866214
2017-08-08,3.24314285714286,63226.08104802
2017-08-09,3.24828571428571,61887.33987557
2017-08-10,3.24957142857143,61390.21209193
2017-08-11,3.24928571428571,61413.50629947
2017-08-14,3.24457142857143,61463.50619897
2017-08-15,3.24671428571429,61045.86756442
2017-08-16,3.24342857142857,60781.35514745
2017-08-17,3.24271428571429,60779.78298401
2017-08-18,3.24271428571429,61247.93099966
2017-08-21,3.23971428571429,61356.14159043
2017-08-22,3.23842857142857,61419.61823705
2017-08-23,3.23885714285714,61398.19182291
2017-08-24,3.23685714285714,61367.54926583
2017-08-25,3.23728571428571,61378.2378114
2017-08-28,3.23628571428571,61180.5743683
2017-08-29,3.24057142857143,61823.09660821
2017-08-31,3.24128571428571,62005.16277795
,3.23885714285714,62157.0199872
,3.239,62167.36722576
,3.23671428571429,62099.46078517
,3.237,62033.31563071
,3.23528571428571,62083.30761436
,3.234,62447.41378666
,3.23214285714286,62497.8686829
,3.23385714285714,62676.74068897
,3.23957142857143,63013.96253575
,3.23957142857143,63305.71043058
,3.24814285714286,63302.81419677
,3.249,63894.02170685
,3.24471428571429,63834.65631997
,3.24471428571429,63900.12041485
,3.24985714285714,63984.91899872
,3.24742857142857,64099.41010431
,3.25614285714286,64388.92281514
,3.26885714285714,64565.90131231
,3.27585714285714,64382.51925781
,3.26914285714286,64414.72986064
,3.26614285714286,64359.67875273
2017-10-02,3.271,64343.09004269
2017-10-03,3.268,64281.8484474
2017-10-04,3.25871428571429,64012.47592299
2017-10-05,3.25671428571429,63702.66772197
2017-10-06,3.26971428571429,63884.29290287
2017-10-09,3.27214285714286,63901.01486501
2017-10-10,3.26628571428571,64049.96742635
2017-10-11,3.262,64041.64502974
2017-10-12,3.25614285714286,63964.44480732
2017-10-13,3.24971428571429,63740.41433995
2017-10-16,3.24642857142857,63745.00319547
2017-10-17,3.246,64238.1208481
2017-10-18,3.24271428571429,64230.52947581
2017-10-19,3.23671428571429,63549.49128516
2017-10-20,3.23928571428571,63757.29803322
2017-10-23,3.23928571428571,63847.50829895
2017-10-24,3.24,64036.18833485
2017-10-25,3.23471428571429,63794.69757621
2017-10-26,3.23857142857143,63788.71203342
2017-10-27,3.24771428571429,63805.42251496
2017-10-30,3.25071428571429,63531.10039133
2017-10-31,3.24928571428572,63560.26895427
2017-11-02,3.24357142857143,64113.54710539
2017-11-03,3.24528571428571,64045.52865955
2017-11-06,3.24014285714286,63991.45768124
2017-11-07,3.24157142857143,63968.8451212
2017-11-08,3.24285714285714,63891.83323575
2017-11-09,3.24542857142857,63860.53460891
2017-11-10,3.24357142857143,64299.00046198
2017-11-13,3.24271428571429,64321.96081478
